DACCustomerMembershipID,CustomerID,MembershipID,JoinDate,RenewalDate,ActiveIND,EmployeeIND,CreatedDate
40,74,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
41,75,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
42,76,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
43,77,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
44,78,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
45,79,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
46,80,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
47,81,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
48,82,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
49,83,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
50,84,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
51,85,3,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
52,86,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
53,87,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
54,88,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
55,89,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
56,90,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
57,91,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
58,92,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
59,93,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
60,94,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
61,95,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
62,96,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
63,97,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
64,98,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
65,99,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
66,100,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
67,101,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
68,102,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
69,103,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
70,104,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
71,105,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
72,106,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
73,107,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
74,108,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
75,109,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
76,110,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
77,111,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
78,112,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
79,113,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
80,114,5,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
81,115,2,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
82,116,6,2026-02-27,2027-02-27,1,0,2026-02-27 01:29:48.1116255
