AmenityUsageID,UsageDate,UsageDay,DateKey,Year,Month,MonthName,Quarter,DayName,IsoDayOfWeek,IsWeekend,IsHoliday,IsBusinessDay,DACCustomerMembershipID,CustomerID,MembershipID,MembershipActiveIND,EmployeeIND,JoinDate,RenewalDate,AmenityID,AmenityName,AmenityCategory
112,2025-10-08 13:50:00.000,2025-10-08,20251008,2025,10,October,4,Wednesday,3,0,0,1,12,46,2,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
113,2025-10-10 12:30:00.000,2025-10-10,20251010,2025,10,October,4,Friday,5,0,0,1,12,46,2,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
114,2025-10-03 14:00:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,12,46,2,1,0,2026-02-27,2027-02-27,14,Golf Simulator,Athletic
115,2025-10-02 09:15:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,13,47,2,1,0,2026-02-27,2027-02-27,1,Full Fitness Center Access,Athletic
116,2025-10-04 13:30:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,13,47,2,1,0,2026-02-27,2027-02-27,2,Indoor Pool Access,Athletic
117,2025-10-06 15:45:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,13,47,2,1,0,2026-02-27,2027-02-27,3,Racquet / Court Access,Athletic
118,2025-10-08 11:00:00.000,2025-10-08,20251008,2025,10,October,4,Wednesday,3,0,0,1,13,47,2,1,0,2026-02-27,2027-02-27,4,Locker Room Access,Athletic
119,2025-10-10 14:20:00.000,2025-10-10,20251010,2025,10,October,4,Friday,5,0,0,1,13,47,2,1,0,2026-02-27,2027-02-27,5,Spa / Sauna Access,Athletic
120,2025-10-01 12:15:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,13,47,2,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
121,2025-10-03 14:45:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,13,47,2,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
122,2025-10-05 10:00:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,13,47,2,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
123,2025-10-07 16:30:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,13,47,2,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
124,2025-10-09 11:15:00.000,2025-10-09,20251009,2025,10,October,4,Thursday,4,0,0,1,13,47,2,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
125,2025-10-04 13:40:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,13,47,2,1,0,2026-02-27,2027-02-27,14,Golf Simulator,Athletic
126,2025-10-01 10:45:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,14,48,3,1,0,2026-02-27,2027-02-27,1,Full Fitness Center Access,Athletic
127,2025-10-03 14:00:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,14,48,3,1,0,2026-02-27,2027-02-27,2,Indoor Pool Access,Athletic
128,2025-10-05 11:30:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,14,48,3,1,0,2026-02-27,2027-02-27,3,Racquet / Court Access,Athletic
129,2025-10-07 15:15:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,14,48,3,1,0,2026-02-27,2027-02-27,4,Locker Room Access,Athletic
130,2025-10-09 12:45:00.000,2025-10-09,20251009,2025,10,October,4,Thursday,4,0,0,1,14,48,3,1,0,2026-02-27,2027-02-27,5,Spa / Sauna Access,Athletic
131,2025-10-02 13:30:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,14,48,3,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
132,2025-10-04 11:00:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,14,48,3,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
133,2025-10-06 14:45:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,14,48,3,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
134,2025-10-08 09:20:00.000,2025-10-08,20251008,2025,10,October,4,Wednesday,3,0,0,1,14,48,3,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
135,2025-10-10 16:15:00.000,2025-10-10,20251010,2025,10,October,4,Friday,5,0,0,1,14,48,3,1,0,2026-02-27,2027-02-27,10,Overnight Guest Rooms,Facility
136,2025-10-03 12:40:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,14,48,3,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
137,2025-10-05 15:30:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,14,48,3,1,0,2026-02-27,2027-02-27,13,Reciprocal Club Privileges,Facility
138,2025-10-07 10:50:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,14,48,3,1,0,2026-02-27,2027-02-27,14,Golf Simulator,Athletic
139,2025-10-02 13:15:00.000,2025-10-02,20251002,2025,10,October,4,Thursday,4,0,0,1,15,49,2,1,0,2026-02-27,2027-02-27,1,Full Fitness Center Access,Athletic
140,2025-10-04 16:45:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,15,49,2,1,0,2026-02-27,2027-02-27,2,Indoor Pool Access,Athletic
141,2025-10-06 10:00:00.000,2025-10-06,20251006,2025,10,October,4,Monday,1,0,0,1,15,49,2,1,0,2026-02-27,2027-02-27,3,Racquet / Court Access,Athletic
142,2025-10-08 14:30:00.000,2025-10-08,20251008,2025,10,October,4,Wednesday,3,0,0,1,15,49,2,1,0,2026-02-27,2027-02-27,4,Locker Room Access,Athletic
143,2025-10-10 11:15:00.000,2025-10-10,20251010,2025,10,October,4,Friday,5,0,0,1,15,49,2,1,0,2026-02-27,2027-02-27,5,Spa / Sauna Access,Athletic
144,2025-10-01 15:45:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,15,49,2,1,0,2026-02-27,2027-02-27,6,Main Dining Room Access,Dining
145,2025-10-03 12:00:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,15,49,2,1,0,2026-02-27,2027-02-27,7,Bar & Lounge Access,Dining
146,2025-10-05 13:45:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,15,49,2,1,0,2026-02-27,2027-02-27,8,Private Event Access,Social
147,2025-10-07 11:20:00.000,2025-10-07,20251007,2025,10,October,4,Tuesday,2,0,0,1,15,49,2,1,0,2026-02-27,2027-02-27,9,Member Networking Events,Social
148,2025-10-09 14:50:00.000,2025-10-09,20251009,2025,10,October,4,Thursday,4,0,0,1,15,49,2,1,0,2026-02-27,2027-02-27,11,Valet & Parking Access,Facility
149,2025-10-04 10:30:00.000,2025-10-04,20251004,2025,10,October,4,Saturday,6,1,0,0,15,49,2,1,0,2026-02-27,2027-02-27,14,Golf Simulator,Athletic
150,2025-10-01 09:30:00.000,2025-10-01,20251001,2025,10,October,4,Wednesday,3,0,0,1,16,50,3,1,0,2026-02-27,2027-02-27,1,Full Fitness Center Access,Athletic
151,2025-10-03 13:45:00.000,2025-10-03,20251003,2025,10,October,4,Friday,5,0,0,1,16,50,3,1,0,2026-02-27,2027-02-27,2,Indoor Pool Access,Athletic
152,2025-10-05 16:00:00.000,2025-10-05,20251005,2025,10,October,4,Sunday,7,1,0,0,16,50,3,1,0,2026-02-27,2027-02-27,3,Racquet / Court Access,Athletic
